"","Date","Game","Name","Team","Cat","Side","Odds","Risk","ToWin","Result","Net","Unt"
"1301","11/25/2022","CLE@MIL","Darius Garland","CLE","Ast","U",105,95,100,"W",100,1
"1302","11/25/2022","CLE@MIL","Donovan Mitchell","CLE","Pts","U",-122,122,100,"L",-122,-1.22
"1303","11/25/2022","CLE@MIL","Donovan Mitchell","CLE","Ast","U",-130,130,100,"W",100,1
"1304","11/25/2022","CLE@MIL","Donovan Mitchell","CLE","Reb","U",130,77,100,"W",100,1
"1305","11/25/2022","CLE@MIL","Evan Mobley","CLE","Pts","U",-130,130,100,"W",100,1
"1306","11/25/2022","CLE@MIL","Evan Mobley","CLE","Ast","U",116,86,100,"W",100,1
"1307","11/25/2022","CLE@MIL","Jarrett Allen","CLE","Ast","U",-142,142,100,"W",100,1
"1308","11/25/2022","CLE@MIL","Jarrett Allen","CLE","Reb","U",110,91,100,"W",100,1
"1309","11/25/2022","CLE@MIL","Brook Lopez","MIL","Reb","U",-130,130,100,"W",100,1
"1310","11/25/2022","CLE@MIL","Giannis Antetokounmpo","MIL","Pts","O",-106,106,100,"W",100,1
"1311","11/25/2022","CLE@MIL","Giannis Antetokounmpo","MIL","Reb","U",106,94,100,"W",100,1
"1312","11/25/2022","LAL@SAS","Anthony Davis","LAL","Ast","U",-130,130,100,"L",-130,-1.3
"1313","11/25/2022","LAL@SAS","Lonnie Walker","LAL","Reb","U",140,71,100,"L",-71,-0.71
"1314","11/25/2022","LAL@SAS","Lonnie Walker","LAL","Ast","U",120,83,100,"L",-83,-0.83
"1315","11/25/2022","LAL@SAS","Russell Westbrook","LAL","Reb","U",-120,120,100,"W",100,1
"1316","11/25/2022","LAL@SAS","Jakob Poeltl","SAS","Reb","O",-130,130,100,"L",-130,-1.3
"1317","11/25/2022","LAL@SAS","Keldon Johnson","SAS","Reb","U",-130,130,100,"L",-130,-1.3
"1318","11/25/2022","LAL@SAS","Tre Jones","SAS","Reb","U",-134,134,100,"W",100,1
"1319","11/25/2022","NOP@MEM","Jonas Valanciunas","NOP","Ast","U",-165,165,100,"W",100,1
"1320","11/25/2022","NOP@MEM","Zion Williamson","NOP","Reb","U",120,83,100,"W",100,1
"1321","11/25/2022","SAC@BOS","Al Horford","BOS","Pts","U",-120,120,100,"L",-120,-1.2
"1322","11/25/2022","SAC@BOS","Al Horford","BOS","Reb","U",-125,125,100,"W",100,1
"1323","11/25/2022","SAC@BOS","Jaylen Brown","BOS","Ast","U",115,87,100,"L",-87,-0.87
"1324","11/25/2022","SAC@BOS","Jaylen Brown","BOS","Reb","U",102,98,100,"W",100,1
"1325","11/25/2022","SAC@BOS","Jayson Tatum","BOS","Ast","U",125,80,100,"W",100,1
"1326","11/25/2022","SAC@BOS","De'Aaron Fox","SAC","Pts","U",-110,110,100,"W",100,1
"1327","11/25/2022","SAC@BOS","De'Aaron Fox","SAC","Ast","O",115,87,100,"L",-87,-0.87
"1328","11/25/2022","SAC@BOS","Domantas Sabonis","SAC","Ast","U",-121,121,100,"L",-121,-1.21
"1329","11/25/2022","SAC@BOS","Harrison Barnes","SAC","Reb","U",-130,130,100,"W",100,1
"1330","11/25/2022","SAC@BOS","Malik Monk","SAC","Reb","U",-125,125,100,"W",100,1
"1331","11/25/2022","WAS@MIA","Bam Adebayo","MIA","Reb","O",110,91,100,"W",100,1
"1332","11/25/2022","DET@PHX","Deandre Ayton","PHX","Reb","U",-125,125,100,"L",-125,-1.25
"1333","11/25/2022","UTA@GSW","Andrew Wiggins","GSW","Reb","U",102,98,100,"L",-98,-0.98
"1334","11/25/2022","UTA@GSW","Draymond Green","GSW","Pts","U",106,94,100,"L",-94,-0.94
"1335","11/25/2022","UTA@GSW","Klay Thompson","GSW","Ast","U",-148,148,100,"W",100,1
"1336","11/25/2022","UTA@GSW","Klay Thompson","GSW","Reb","U",-120,120,100,"L",-120,-1.2
"1337","11/25/2022","UTA@GSW","Stephen Curry","GSW","Ast","O",-124,124,100,"L",-124,-1.24
"1338","11/25/2022","UTA@GSW","Kelly Olynyk","UTA","Ast","U",105,95,100,"W",100,1
"1339","11/25/2022","UTA@GSW","Lauri Markkanen","UTA","Ast","U",-134,134,100,"W",100,1
"1340","11/25/2022","UTA@GSW","Lauri Markkanen","UTA","Reb","U",-143,143,100,"W",100,1
"1341","11/25/2022","DEN@LAC","Nikola Jokic","DEN","Ast","O",-108,108,100,"L",-108,-1.08
"1342","11/25/2022","DEN@LAC","Reggie Jackson","LAC","Reb","U",-159,159,100,"L",-159,-1.59
"1343","11/26/2022","DAL@TOR","Dorian Finney-Smith","DAL","Pts","U",-108,108,100,"L",-108,-1.08
"1344","11/26/2022","DAL@TOR","Luka Doncic","DAL","Reb","U",-125,125,100,"W",100,1
"1345","11/26/2022","DAL@TOR","Spencer Dinwiddie","DAL","Pts","U",-106,106,100,"W",100,1
"1346","11/26/2022","DAL@TOR","Gary Trent Jr.","TOR","Reb","U",150,67,100,"L",-67,-0.67
"1347","11/26/2022","LAL@SAS","Keldon Johnson","SAS","Reb","U",115,87,100,"L",-87,-0.87
"1348","11/26/2022","OKC@HOU","Jalen Green","HOU","Reb","U",-112,112,100,"W",100,1
"1349","11/26/2022","OKC@HOU","Luguentz Dort","OKC","Ast","U",100,100,100,"L",-100,-1
"1350","11/26/2022","OKC@HOU","Shai Gilgeous-Alexander","OKC","Ast","U",-118,118,100,"W",100,1
"1351","11/26/2022","UTA@PHX","Deandre Ayton","PHX","Pts","U",-110,110,100,"L",-110,-1.1
"1352","11/26/2022","UTA@PHX","Deandre Ayton","PHX","Ast","U",-163,163,100,"L",-163,-1.63
"1353","11/26/2022","UTA@PHX","Deandre Ayton","PHX","Reb","U",105,95,100,"L",-95,-0.95
"1354","11/26/2022","UTA@PHX","Devin Booker","PHX","Ast","O",123,81,100,"W",100,1
"1355","11/26/2022","UTA@PHX","Mikal Bridges","PHX","Ast","U",-125,125,100,"W",100,1
"1356","11/26/2022","UTA@PHX","Torrey Craig","PHX","Ast","U",150,67,100,"W",100,1
"1357","11/26/2022","UTA@PHX","Kelly Olynyk","UTA","Ast","U",-105,105,100,"W",100,1
"1358","11/26/2022","UTA@PHX","Lauri Markkanen","UTA","Ast","U",-182,182,100,"W",100,1
"1359","11/26/2022","UTA@PHX","Lauri Markkanen","UTA","Reb","U",-105,105,100,"L",-105,-1.05
"1360","11/27/2022","POR@BKN","Ben Simmons","BKN","Pts","U",-115,115,100,"W",100,1
"1361","11/27/2022","POR@BKN","Kevin Durant","BKN","Reb","U",-112,112,100,"W",100,1
"1362","11/27/2022","POR@BKN","Kyrie Irving","BKN","Pts","O",-120,120,100,"L",-120,-1.2
"1363","11/27/2022","POR@BKN","Nicolas Claxton","BKN","Reb","U",-130,130,100,"W",100,1
"1364","11/27/2022","POR@BKN","Anfernee Simons","POR","Ast","U",125,80,100,"L",-80,-0.8
"1365","11/27/2022","POR@BKN","Jerami Grant","POR","Ast","U",-144,144,100,"L",-144,-1.44
"1366","11/27/2022","POR@BKN","Jerami Grant","POR","Reb","U",-150,150,100,"W",100,1
"1367","11/27/2022","POR@BKN","Josh Hart","POR","Reb","O",-103,103,100,"L",-103,-1.03
"1368","11/27/2022","POR@BKN","Jusuf Nurkic","POR","Reb","O",-105,105,100,"W",100,1
"1369","11/27/2022","GSW@MIN","Draymond Green","GSW","Pts","U",-128,128,100,"L",-128,-1.28
"1370","11/27/2022","GSW@MIN","Jordan Poole","GSW","Ast","U",116,86,100,"L",-86,-0.86
"1371","11/27/2022","GSW@MIN","Stephen Curry","GSW","Pts","O",-105,105,100,"L",-105,-1.05
"1372","11/27/2022","GSW@MIN","Anthony Edwards","MIN","Ast","U",110,91,100,"L",-91,-0.91
"1373","11/27/2022","GSW@MIN","D'Angelo Russell","MIN","Pts","U",-122,122,100,"W",100,1
"1374","11/27/2022","IND@LAC","Bennedict Mathurin","IND","Ast","U",100,100,100,"W",100,1
"1375","11/27/2022","IND@LAC","Tyrese Haliburton","IND","Ast","O",-122,122,100,"W",100,1
"1376","11/27/2022","IND@LAC","Ivica Zubac","LAC","Pts","U",100,100,100,"L",-100,-1
"1377","11/27/2022","IND@LAC","Marcus Morris","LAC","Reb","U",-110,110,100,"W",100,1
"1378","11/27/2022","IND@LAC","Terance Mann","LAC","Ast","U",138,72,100,"L",-72,-0.72
"1379","11/27/2022","MIA@ATL","Dejounte Murray","ATL","Reb","U",106,94,100,"W",100,1
"1380","11/27/2022","MIA@ATL","Trae Young","ATL","Reb","U",130,77,100,"L",-77,-0.77
"1381","11/27/2022","MIA@ATL","Bam Adebayo","MIA","Reb","O",100,100,100,"L",-100,-1
